,anyo,mes,mes_n,producto,volumen,precio,valor,penetracion,consumo_per_capita,gasto_per_capita,tipo,time
0,2018,Enero,1,PATATAS FRESCAS,158891.32,0.6772222222222222,109376.6,64.57444444444444,1.6555555555555557,1.1344444444444446,hortaliza,2018-Enero
0,2018,Enero,1,PATATAS CONGELADAS,7999.800000000001,1.2077777777777778,9715.58,10.894444444444444,0.07722222222222225,0.09277777777777778,hortaliza,2018-Enero
0,2018,Enero,1,PATATAS PROCESADAS,9994.06,5.05111111111111,50188.0,42.447222222222216,0.09444444444444446,0.4772222222222222,hortaliza-envasada,2018-Enero
0,2018,Enero,1,TOMATES,79868.68000000001,1.7094444444444443,135035.45999999993,74.20277777777778,0.7738888888888888,1.3166666666666664,hortaliza,2018-Enero
0,2018,Enero,1,CEBOLLAS,51844.13999999999,1.047222222222222,52509.73,66.92111111111112,0.5461111111111111,0.5722222222222223,hortaliza,2018-Enero
0,2018,Enero,1,AJOS,5145.280000000002,4.215555555555556,21473.07,33.21055555555555,0.05611111111111111,0.23444444444444446,hortaliza,2018-Enero
0,2018,Enero,1,COLES,14082.239999999998,1.091111111111111,15249.69,22.39944444444445,0.14500000000000002,0.15777777777777774,hortaliza,2018-Enero
0,2018,Enero,1,PEPINOS,8286.13,1.5166666666666666,12670.69,19.947777777777773,0.08222222222222222,0.12555555555555556,hortaliza,2018-Enero
0,2018,Enero,1,JUDIAS VERDES,14060.07,2.9022222222222225,40692.85000000001,31.707222222222228,0.14055555555555554,0.4111111111111112,hortaliza,2018-Enero
0,2018,Enero,1,PIMIENTOS,30771.9,1.8866666666666667,57186.59000000001,58.93,0.3177777777777777,0.5983333333333333,hortaliza,2018-Enero
0,2018,Enero,1,CHAMPIÑONES+O.SETAS,11511.299999999996,3.685,41907.33,42.16111111111111,0.12111111111111113,0.4444444444444444,hortaliza,2018-Enero
0,2018,Enero,1,LECHUGA/ESC./ENDIVIA,24076.22,2.766111111111111,67336.79000000001,57.867777777777775,0.2694444444444445,0.735,hortaliza,2018-Enero
0,2018,Enero,1,ESPARRAGOS,3305.9,3.4111111111111114,9380.37,6.217777777777778,0.03166666666666667,0.08444444444444445,hortaliza,2018-Enero
0,2018,Enero,1,VERDURAS DE HOJA,9866.11,2.617777777777777,24351.47,24.586111111111112,0.10055555555555556,0.2411111111111111,hortaliza,2018-Enero
0,2018,Enero,1,BERENJENAS,8766.75,1.781111111111111,15351.51,22.842777777777773,0.08166666666666668,0.14388888888888887,hortaliza,2018-Enero
0,2018,Enero,1,ZANAHORIAS,27106.36,0.8288888888888891,22671.14,56.79888888888888,0.2933333333333333,0.2438888888888889,hortaliza,2018-Enero
0,2018,Enero,1,CALABACINES,31141.18,1.4322222222222225,44326.8,50.71,0.3227777777777778,0.4638888888888889,hortaliza,2018-Enero
0,2018,Enero,1,OTR.HORTALIZAS/VERD.,100082.17999999998,1.9677777777777776,193233.62,79.08111111111111,1.0133333333333332,1.9788888888888887,hortaliza,2018-Enero
0,2018,Enero,1,BROCOLI,13070.35,1.4522222222222223,17665.31,26.086111111111112,0.13888888888888892,0.19333333333333333,hortaliza,2018-Enero
0,2018,Enero,1,ALCACHOFAS,16927.03,1.995555555555556,30839.95,21.437222222222218,0.14,0.2561111111111111,hortaliza,2018-Enero
0,2018,Enero,1,VERD./HORT. IV GAMA,47768.98,2.6594444444444445,125388.01,62.52777777777778,0.49,1.2872222222222225,hortaliza-envasada,2018-Enero
0,2018,Enero,1,NARANJAS,192829.8,0.9138888888888888,176516.11,60.808888888888895,2.1516666666666664,1.9772222222222218,fruta,2018-Enero
0,2018,Enero,1,MANDARINAS,93714.96000000002,1.3438888888888894,126975.62,63.371111111111105,1.0111111111111108,1.3633333333333333,fruta,2018-Enero
0,2018,Enero,1,LIMONES,19691.870000000006,1.5338888888888886,30029.78,34.95,0.2327777777777778,0.3588888888888889,fruta,2018-Enero
0,2018,Enero,1,PLATANOS,103638.44999999998,1.4522222222222219,149973.23,80.58,1.1527777777777777,1.6777777777777783,fruta,2018-Enero
0,2018,Enero,1,MANZANAS,78902.17,1.4166666666666667,112314.96,64.42055555555554,0.8716666666666667,1.236111111111111,fruta,2018-Enero
0,2018,Enero,1,PERAS,40998.890000000014,1.4300000000000002,59285.19,47.44166666666666,0.44277777777777777,0.6377777777777778,fruta,2018-Enero
0,2018,Enero,1,MELOCOTONES,172.19,1.2561111111111112,380.06,0.20722222222222225,0.0005555555555555557,0.0016666666666666663,fruta,2018-Enero
0,2018,Enero,1,NECTARINAS,1302.04,1.7555555555555555,2298.9899999999993,2.2622222222222224,0.012222222222222223,0.02388888888888889,fruta,2018-Enero
0,2018,Enero,1,ALBARICOQUES,271.65000000000003,1.2616666666666667,496.43,0.5616666666666666,0.0011111111111111113,0.0038888888888888883,fruta,2018-Enero
0,2018,Enero,1,FRESAS/FRESON,16137.32,3.545555555555556,56851.16,31.962222222222227,0.17611111111111113,0.6161111111111109,hortaliza,2018-Enero
0,2018,Enero,1,MELON,11421.79,1.5761111111111112,17689.84,9.052777777777775,0.11055555555555556,0.17333333333333334,fruta,2018-Enero
0,2018,Enero,1,SANDIA,532.72,0.8455555555555555,660.9100000000002,0.4622222222222223,0.004444444444444445,0.005,hortaliza,2018-Enero
0,2018,Enero,1,CIRUELAS,639.8,2.1227777777777783,1408.97,1.6155555555555554,0.007777777777777778,0.01777777777777778,fruta,2018-Enero
0,2018,Enero,1,CEREZAS,419.5,4.964444444444445,2107.890000000001,1.4177777777777782,0.0033333333333333327,0.02055555555555556,fruta,2018-Enero
0,2018,Enero,1,UVAS,7868.89,3.0066666666666664,23561.67,18.699444444444442,0.08222222222222222,0.2488888888888889,fruta,2018-Enero
0,2018,Enero,1,KIWI,23793.89,2.665555555555556,61929.77,36.736666666666665,0.26222222222222225,0.6883333333333334,fruta,2018-Enero
0,2018,Enero,1,AGUACATE,8757.84,3.438333333333334,29324.34,24.97111111111111,0.10388888888888888,0.3505555555555555,fruta,2018-Enero
0,2018,Enero,1,PIÑA,17823.54,1.3988888888888886,24635.980000000003,20.407777777777774,0.1911111111111111,0.25722222222222224,fruta,2018-Enero
0,2018,Enero,1,OTRAS FRUTAS FRESCAS,30188.85,2.216666666666667,66483.45,37.50555555555556,0.3183333333333334,0.7005555555555555,frutas,2018-Enero
0,2018,Enero,1,POMELO,2442.19,1.6522222222222225,3999.16,3.138888888888889,0.024444444444444446,0.040000000000000015,fruta,2018-Enero
0,2018,Enero,1,CHIRIMOYA,0.0,0.0,0.0,0.0,0.0,0.0,fruta,2018-Enero
0,2018,Enero,1,FRUTAS IV GAMA,27944.67,1.5911111111111111,45835.13,27.46722222222222,0.3138888888888889,0.4961111111111111,fruta-envasada,2018-Enero
0,2018,Febrero,2,PATATAS FRESCAS,147822.59,0.6716666666666665,99701.71,61.14611111111112,1.5422222222222222,1.0422222222222222,hortaliza,2018-Febrero
0,2018,Febrero,2,PATATAS CONGELADAS,7430.42,1.2738888888888888,9285.02,10.358888888888886,0.07555555555555557,0.09444444444444446,hortaliza,2018-Febrero
